Designator,Footprint,Quantity,Value,LCSC Part #
AE2,Walsin_RFANT3216120A5T,1,Antenna_Chip,C127629
"C1, C2, C3, C4",0402,4,15pF,C1548 
C10,0402,1,820pF,C107031
"C11, C17, C23, C24, C25, C26, C28, C30, C31, C32, C33, C37, C7",0402,13,1uF,C7472946
C12,0402,1,47nF,C272875
"C13, C15, C16",0603,3,4.7uF,C380325
"C18, C19, C20, C8",0402,4,100nF,C1525 
"C21, C22",0603,2,22uF,C380323
"C27, C29, C34",0402,3,4.7uF,C380302
C5,0402,1,0.8pF,C76915
C6,0402,1,0.5pF,C76912
C9,0402,1,100pF,C1546
"D1, D2, D3",D_SOD-123,3,MBR0530,C7436545
"D4, D6, D7",0402,3,LED,C51933306
D5,D_SOD-123F,1,DSK24,C22466352
F1,0805,1,Fuse,C46640991
J2,USB_C_Receptacle_SHOU-HAN_TYPE-16P,1,USB_C_Receptacle_USB2.0_14P,C2906290
J6,HCTL_JST_PH_HC-PH-2AWT-B_2P,1,LiPo,C19633668
L1,0402,1,4.7nH,C86065
L2,0603,1,10uH,C281107
L3,0402,1,15nH,C86059
L5,0402,1,6.8nH,C96056
L6,L_APV_ANR3015,1,47uH 500mA,C7427088
Q1,SOT-323_SC-70,1,Si1308EDL,C7603347
Q2,SOT-23,1,AO3401A,C347476
"R1, R11, R2, R7, R8",0402,5,1.5k,C114451
R12,0402,1,2.2R,C2906922
R13,0402,1,1M,C93949
"R3, R4",0402,2,100k,C481918
"R5, R6",0402,2,5.1k,C2906874
SW1,SW_Push_SPST_TSA016,1,SW_Push,C2888428
U1,Nordic_AQFN-73-1EP_7x7mm_P0.5mm_Small,1,nRF52840,C190794
U2,HCTL_HC-FPC-05-09-24RLTAG-1MP_P0.5mm_Horizontal,1,"Conn_Eink_1.9""_Generic",C5213757
U3,SOT-23-6,1,SRV05-4,C2836319
U4,TSOT-23-6,1,TP4057,C5380673
U5,SOT-23-5,1,HE9073A33M5R,C723789
Y1,Crystal_SMD_2016-4Pin_2.0x1.6mm,1,32MHz 12pF,C383840
Y2,Crystal_SMD_2012-2Pin_2.0x1.2mm,1,32.768kHz 12.5pF,C55208
