Designator,Mid X,Mid Y,Rotation,Layer
AE2,143.98,-156.41,270.0,top
C1,157.465,-152.400896,270.0,top
C10,159.32,-145.8,0.0,top
C11,167.35,-151.95,0.0,top
C12,167.35,-151.03,0.0,top
C13,169.7,-140.825,270.0,top
C15,168.225,-140.825,90.0,top
C16,170.185,-143.55,0.0,top
C17,169.59,-149.82,0.0,top
C18,161.87,-151.03,180.0,top
C19,164.38,-141.36,90.0,top
C2,161.415,-152.400896,90.0,top
C20,160.86,-141.83,180.0,top
C21,177.625,-137.6675,0.0,top
C22,176.725,-143.275,0.0,top
C23,191.625,-143.3325,180.0,top
C24,192.825,-147.4025,180.0,top
C25,191.625,-142.4125,180.0,top
C26,191.93,-137.785,180.0,top
C27,185.705,-147.96,270.0,top
C28,191.815,-140.5625,180.0,top
C29,185.71,-150.48,270.0,top
C3,174.01,-148.69,0.0,top
C30,191.925,-138.7125,180.0,top
C31,191.93,-139.635,180.0,top
C32,191.925,-136.8625,180.0,top
C33,192.825,-146.4825,180.0,top
C34,173.455,-134.34,90.0,top
C37,191.83,-141.485,180.0,top
C4,174.01,-147.29,0.0,top
C5,159.97,-147.680896,270.0,top
C6,157.2,-147.680896,270.0,top
C7,168.405,-134.32,90.0,top
C8,169.59,-148.9,180.0,top
C9,159.52,-149.18,0.0,top
D1,187.13,-144.685,90.0,top
D2,184.815,-144.685,270.0,top
D3,189.43,-144.685,270.0,top
D4,170.0,-131.65,0.0,top
D5,173.4,-137.6,90.0,top
D6,195.305,-132.7,0.0,top
D7,195.305,-133.65,0.0,top
F1,152.2,-133.3,90.0,top
J2,148.67,-135.995,270.0,top
J6,162.12,-138.39600000000002,0.0,top
L1,158.585,-147.200896,0.0,top
L2,169.76,-151.29,0.0,top
L3,169.2,-152.49,180.0,top
L5,143.98,-153.235,90.0,top
L6,187.915,-148.8625,90.0,top
Q1,192.305,-149.035,0.0,top
Q2,170.325,-137.4,180.0,top
R1,171.86,-131.65,180.0,top
R11,197.2,-133.65,180.0,top
R12,191.105,-147.76,90.0,top
R13,190.63,-149.835,0.0,top
R2,173.96,-132.85,0.0,top
R3,174.1,-140.3,0.0,top
R4,183.3,-139.71,90.0,top
R5,151.66,-136.1,0.0,top
R6,151.66,-139.35,0.0,top
R7,174.75,-134.325,90.0,top
R8,197.2,-132.7,180.0,top
SW1,185.5,-137.0,0.0,top
U1,164.56,-146.430896,90.0,top
U2,195.83,-143.1925,270.0,top
U3,154.65,-137.2675,90.0,top
U4,170.95,-133.85,180.0,top
U5,176.725,-140.4625,90.0,top
Y1,159.44,-152.400896,180.0,top
Y2,172.0,-147.99,270.0,top
